PERMNO,date,TICKER,COMNAM,PRIMEXCH,DIVAMT,PRC,VOL,BID,ASK,OPENPRC,NUMTRD,vwretd,ewretd,sprtrn
89393,2016/02/05,NFLX,NETFLIX INC,Q,,82.79000,25929257,82.79000,82.80000,88.23000,175452,-0.019598,-0.017773,-0.018481
89393,2016/02/08,NFLX,NETFLIX INC,Q,,83.32000,25035634,83.30000,83.33000,80.57000,167314,-0.016934,-0.019848,-0.014154
89393,2016/02/09,NFLX,NETFLIX INC,Q,,86.13000,25892874,86.13000,86.14000,81.75000,160835,-0.003060,-0.010323,-0.000664
89393,2016/02/10,NFLX,NETFLIX INC,Q,,88.45000,23146517,88.43000,88.46000,89.00000,134627,0.000263,-0.000344,-0.000189
89393,2016/02/11,NFLX,NETFLIX INC,Q,,86.35000,21820321,86.34000,86.35000,87.42000,138505,-0.011965,-0.010969,-0.012301
89393,2016/02/12,NFLX,NETFLIX INC,Q,,87.40000,19067683,87.38000,87.41000,86.64000,110153,0.020121,0.017366,0.019518
89393,2016/02/16,NFLX,NETFLIX INC,Q,,89.05000,16356604,89.04000,89.05000,89.00000,103489,0.017664,0.018591,0.016517
89393,2016/02/17,NFLX,NETFLIX INC,Q,,94.76000,18323834,94.75000,94.77000,90.13000,115032,0.018099,0.020480,0.016480
89393,2016/02/18,NFLX,NETFLIX INC,Q,,90.49000,17695524,90.49000,90.50000,94.80000,111802,-0.004199,-0.003088,-0.004666
89393,2016/02/19,NFLX,NETFLIX INC,Q,,89.23000,14259205,89.23000,89.27000,89.98000,90618,-0.000229,-0.000181,-0.000026
89393,2016/02/22,NFLX,NETFLIX INC,Q,,91.93000,16321822,91.92000,91.93000,90.75000,94561,0.014319,0.014135,0.014454
89393,2016/02/23,NFLX,NETFLIX INC,Q,,89.12000,12744428,89.11000,89.15000,91.40000,81276,-0.011788,-0.010414,-0.012454
89393,2016/02/24,NFLX,NETFLIX INC,Q,,91.61000,15972819,91.60000,91.62000,88.50000,99647,0.004971,0.005398,0.004440
89393,2016/02/25,NFLX,NETFLIX INC,Q,,94.53000,17898777,94.50000,94.54000,91.08000,100372,0.011051,0.006032,0.011348
89393,2016/02/26,NFLX,NETFLIX INC,Q,,94.79000,16975151,94.78000,94.80000,95.30000,98963,0.000276,0.006824,-0.001870
89393,2016/02/29,NFLX,NETFLIX INC,Q,,93.41000,13663080,93.42000,93.43000,94.81000,73266,-0.005922,0.001120,-0.008121
89393,2016/03/01,NFLX,NETFLIX INC,Q,,98.30000,17087844,98.27000,98.30000,94.58000,102996,0.022381,0.015671,0.023869
89393,2016/03/02,NFLX,NETFLIX INC,Q,,97.61000,19102849,97.61000,97.62000,98.01000,117584,0.005687,0.012928,0.004094
89393,2016/03/03,NFLX,NETFLIX INC,Q,,97.93000,15320921,97.92000,97.93000,97.83000,96301,0.005601,0.011139,0.003499
89393,2016/03/04,NFLX,NETFLIX INC,Q,,101.58000,23414622,101.57000,101.59000,98.76000,137165,0.004152,0.009364,0.003306
89393,2016/03/07,NFLX,NETFLIX INC,Q,,95.49000,23906672,95.49000,95.50000,101.00000,131074,0.003231,0.015467,0.000885
89393,2016/03/08,NFLX,NETFLIX INC,Q,,96.23000,14796968,96.23000,96.27000,95.00000,84357,-0.013531,-0.018210,-0.011240
89393,2016/03/09,NFLX,NETFLIX INC,Q,,98.00000,12298660,97.99000,98.00000,96.82000,69983,0.005587,0.005691,0.005052
89393,2016/03/10,NFLX,NETFLIX INC,Q,,97.36000,17002063,97.35000,97.36000,98.18000,94566,-0.001287,-0.004422,0.000156
89393,2016/03/11,NFLX,NETFLIX INC,Q,,97.66000,15114299,97.64000,97.66000,99.51000,81863,0.017435,0.016298,0.016396
89393,2016/03/14,NFLX,NETFLIX INC,Q,,98.13000,11253872,98.12000,98.13000,97.20000,64450,-0.001578,0.000189,-0.001261
89393,2016/03/15,NFLX,NETFLIX INC,Q,,97.86000,9691829,97.83000,97.86000,97.87000,57715,-0.004456,-0.012588,-0.001837
